id_cliente,evasao_cliente,idade,genero,qtde_dependentes,escolaridade,estado_civil,faixa_renda,categoria_cartao,meses_como_cliente,total_produtos,meses_inativos_12m,contatos_12m,limite_credito,saldo_rotativo,credito_disponivel_medio,variacao_valor_transacoes_Q4_Q1,valor_total_transacoes,qtde_total_transacoes,variacao_qtde_transacoes_Q4_Q1,taxa_utilizacao_media,taxa_inatividade_12m,freq_transacoes_12m,ticket_medio_transacoes,ticket_medio_produto,nivel_endividamento,faixa_utilizacao_limite,mudanca_padrao_uso,score_risco_evasao,categoria_risco
768805383,Ativo,45,M,3,Ensino Médio,Casado(a),Média,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0.08333333333333333,3.5,27.238095238095237,228.8,0.061224489795918366,Baixíssimo,Forte Crescimento,0.00058138557,Baixíssimo risco
818770008,Ativo,49,F,5,Pós-Graduação,Solteiro(a),Baixíssima,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0.08333333333333333,2.75,39.121212121212125,215.16666666666666,0.10465116279069768,Baixo,Forte Crescimento,5.5064218e-05,Baixíssimo risco
713982108,Ativo,51,M,3,Pós-Graduação,Casado(a),Alta,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0.08333333333333333,1.6666666666666667,94.35,471.75,0.0,Baixíssimo,Forte Crescimento,0.00013745933,Baixíssimo risco
769911858,Ativo,40,F,4,Ensino Médio,Sem Informação,Baixíssima,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.3333333333333333,1.6666666666666667,58.55,390.3333333333333,0.7597343797162692,Alta,Forte Crescimento,0.00084877235,Baixíssimo risco
709106358,Ativo,40,M,3,Sem Escolaridade,Casado(a),Média,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0.08333333333333333,2.3333333333333335,29.142857142857142,163.2,0.0,Baixíssimo,Forte Crescimento,0.14954324,Baixo risco
713061558,Ativo,44,M,2,Pós-Graduação,Casado(a),Baixa,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0.08333333333333333,2.0,45.333333333333336,362.6666666666667,0.3109725685785536,Médio,Queda,0.0029251864,Baixíssimo risco
810347208,Ativo,51,M,4,Sem informação,Casado(a),Altissima,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0.08333333333333333,2.5833333333333335,42.903225806451616,221.66666666666666,0.06559276857109746,Baixíssimo,Forte Queda,0.00051931577,Baixíssimo risco
818906208,Ativo,32,M,0,Ensino Médio,Sem Informação,Média,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0.16666666666666666,3.0,42.72222222222222,769.0,0.0480038513118531,Baixíssimo,Forte Queda,0.0023174821,Baixíssimo risco
710930508,Ativo,37,M,3,Sem Escolaridade,Solteiro(a),Média,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0.16666666666666666,2.0,56.25,270.0,0.11260737294201861,Baixo,Estável,3.8620314e-05,Baixíssimo risco
719661558,Ativo,48,M,2,Pós-Graduação,Solteiro(a),Alta,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.25,2.6666666666666665,45.03125,240.16666666666666,0.14387439945092656,Baixo,Queda,0.000247667,Baixíssimo risco
